name,text,race
Astral Portal,Summon a random Legendary minion.,NULL
Ancient Teachings,Draw a card.,NULL
Druid of the Flame,NULL,BEAST
Justicar Trueheart,Battlecry: Replace your starting Hero Power with a better one.,NULL
Faceless Behemoth,NULL,NULL
Rob Pardo,You can't start a game without this minion in your deck.,NULL
Eve of Destruction,Stats increased.,NULL
General Drakkisath,NULL,NULL
Shrink Ray,-2 Attack this turn.,NULL
Harvest,"Hero Power
Draw a card. Gain a Mana Crystal.",NULL
Eydis Darkbane,"Whenever you target this minion with a spell, deal 3 damage to a random enemy.",NULL
Enhanced,Raid Leader is granting this minion +1 Attack.,NULL
Trogg Hate Minions!,"Passive Hero Power
 Enemy minions cost (11). Swap at the start of your turn.",NULL
Tank Up!,"Hero Power
Gain 4 Armor.",NULL
Smuggling,+2/+2 from Smuggler's Crate.,NULL
Priestess of Elune,Battlecry: Restore 4 Health to your hero.,NULL
Dire Fate: Murlocs,Turn each minion in play into a 1/1 Murloc.,NULL
Cursed!,"While this is in your hand, take 2 damage at the start of your turn.",NULL
Weasel Tunneler,Deathrattle: Shuffle this minion into your opponent's deck.,BEAST
Dragon Consort,Battlecry: The next Dragon you play costs (2) less.,DRAGON
I Am Murloc,"Summon three, four, or five 1/1 Murlocs.",NULL
Chromatic Drake,NULL,DRAGON
Vaelastrasz the Corrupt,NULL,NULL
Evolve,Transform your minions into random minions that cost (1) more.,NULL
Anub'Rekhan,NULL,NULL
Anodized Robo Cub,"Taunt. Choose One -
+1 Attack; or +1 Health.",MECHANICAL
Felfire Potion,Deal 5 damage to all characters.,NULL
Steady Shot,"Hero Power
Deal 2 damage to the enemy hero.",NULL
Venture Co. Mercenary,Your minions cost (3) more.,NULL
Netherspite Historian,"Battlecry: If you're holding a Dragon, Discover
a Dragon.",NULL
Jade Golem,NULL,NULL
Firelands Portal,"Deal 5 damage. Summon a random
5-Cost minion.",NULL
Lava Shock,Cards you play this turn don't cause Overload.,NULL
Demonfuse,Give a Demon +3/+3. Give your opponent a Mana Crystal.,NULL
The Majordomo,"Hero Power
Summon a 1/3 Flamewaker Acolyte.",NULL
Flamewreathed Faceless,Overload: (2),NULL
Eruption,"Hero Power
Deal 2 damage to the left-most enemy minion.",NULL
Ignite Mana,"Hero Power
Deal 5 damage to the enemy hero if they have any unspent Mana.",NULL
The Rookery,"Hero Power
Give all Corrupted Eggs +1 Health, then summon one.",NULL
Animated Shield,Taunt,NULL
Twilight Endurance,Increased Health.,NULL
Bloodthistle Toxin,"Return a friendly minion to your hand.
It costs (2) less.",NULL
Windfury,Give a minion Windfury.,NULL
Ice Block,Your hero is Immune this turn.,NULL
Zealous Initiate,Deathrattle: Give a random friendly minion +1/+1.,NULL
Ancient Curse,"When you draw this, take 7 damage and draw a card.",NULL
Wild Magic,"Hero Power
Put a random spell from your opponent's class into your hand.",NULL
Archaedas,NULL,NULL
Castle,"Hero Power
Discover a chess piece.",NULL
Call of the Wild,Summon all three Animal Companions.,NULL
Stand Down!,Attack changed to 1.,NULL
Preparation,The next spell you cast this turn costs (3) less.,NULL
Kel'Thuzad,NULL,NULL
Jaina Proudmoore,NULL,NULL
Call Mediva,Summon a random Mediva,NULL
Chieftain Scarvash,NULL,NULL
Enraged,+2 Attack,NULL
Andy Brock,"Can't be Silenced. Divine Shield, Stealth.",NULL
Kabal Demon,NULL,DEMON
Bite,+4 Attack this turn.,NULL
Dragonscale Warrior,"Whenever any player targets this minion with a spell, that player draws a card.",NULL
Antique Healbot,Battlecry: Restore 8 Health to your hero.,MECHANICAL
Treasure Crazed,Increased Attack.,NULL
Henry Ho,Battlecry: Spectate your opponent's hand.,NULL
Frog,Taunt,BEAST
Forbidden Shaping,Spend all your Mana. Summon a random minion that costs that much.,NULL
Hammer of Wrath,"Deal 3 damage.
Draw a card.",NULL
Diabolical Powers,Summon a random Imp.,NULL
Shadowboxer,"Whenever a character is healed, deal 1 damage to a random enemy.",MECHANICAL
Kazakus Potion,NULL,NULL
Hand of Argus,+1/+1 and Taunt.,NULL
Well Fed,Increased Attack and Health.,NULL
Psych-o-Tron,"Taunt
Divine Shield",MECHANICAL
Training Complete,Taunt,NULL
Addled Grizzly,"After you summon a minion, give it +1/+1.",BEAST
Sir Zeliek,Lady Blaumeux is Immune.,NULL
Mukla's Champion,Inspire: Give your other minions +1/+1.,BEAST
Mark of the Horsemen,Give your minions and your weapon +1/+1.,NULL
Prince Malchezaar,NULL,NULL
Release the Aberrations!,Summon 3 Aberrations.,NULL
Priest of the Feast,"Whenever you cast a spell, restore 3 Health to
your hero.",NULL
"DIE, INSECTS!","Hero Power
Deal 8 damage to a random enemy. TWICE.",NULL
Bear Trap,"Secret: After your hero is attacked, summon a 3/3 Bear with Taunt.",NULL
Teachings of the Kirin Tor,Spell Damage +1.,NULL
Mutation,"Hero Power
Discard a random card.",NULL
Blessing of Might,+3 Attack.,NULL
Mech Fan,Taunt,NULL
Burrowing Mine,"When you draw this, it explodes. You take 10 damage and draw a card.",NULL
Fadeleaf,Stealthed until your next turn.,NULL
Yarrr!,Southsea Captain is granting +1/+1.,NULL
Feugen,NULL,NULL
AI Helper Buddy,Get the AI ready for testing.,NULL
Unity,NULL,NULL
Toshley,Battlecry and Deathrattle: Add a Spare Part card to your hand.,NULL
Jade Idol,Choose One - Summon a{1} {0} Jade Golem; or Shuffle 3 copies of this card into your deck.,NULL
Ironforge Rifleman,Battlecry: Deal 1 damage.,NULL
Brood Affliction: Green,"While this is in your hand, restore 6 health to your opponent at the start of your turn.",NULL
Jade Chieftain,Battlecry: Summon a{1} {0} Jade Golem. Give it Taunt.,NULL
Gluth,NULL,NULL
Corruption,"Choose an enemy minion. At the start of your turn, destroy it.",NULL
Soul Tap,"Hero Power
Draw a card.",NULL
Slithering Archer,Battlecry: Deal 2 damage to all enemy minions.,NULL
Tirion Fordring,Divine Shield. Taunt. Deathrattle: Equip a 5/3 Ashbringer.,NULL
Earthen Pursuer,NULL,NULL
Grimestreet Pawnbroker,Battlecry: Give a random weapon in your hand +1/+1.,NULL
Argent Lance,"Battlecry: Reveal a minion in each deck. If yours costs more, +1 Durability.",NULL
Temple Escape,NULL,NULL
Screwy Jank,NULL,NULL
Runeblade,Has +6 Attack if the other Horsemen are dead.,NULL
Sword of Justice,"After you summon a minion, give it +1/+1 and this loses 1 Durability.",NULL
Table Set,NULL,NULL
Maiden of the Lake,Your Hero Power costs (1).,NULL
Flame of Azzinoth,NULL,NULL
OLDTBST Push Common Card,push a common card into player's hand,NULL
Hardpacked Snowballs,Return 3 random enemy minions to your opponent's hand.,NULL
Infernal,NULL,DEMON
Big Banana,Has +2/+2.,NULL
Archaedas,"At the end of your turn, turn a random enemy minion into a 0/2 Statue.",NULL
Choose a New Card!,Look at 3 random cards. Choose one and put it into your hand.,NULL
Dread Infernal,Battlecry: Deal 1 damage to ALL other characters.,DEMON
VanCleef's Vengeance,Increased stats.,NULL
Big Banana,Give a minion +2/+2.,NULL
Hungry Naga,NULL,NULL
Reckless Rocketeer,Charge,NULL
White Rook,Auto-Attack: Deal 2 damage to the enemies opposite this minion.,NULL
Terestian Illhoof,NULL,NULL
Thaddius,NULL,NULL
Hellfire,Deal 3 damage to ALL characters.,NULL
Ricardo Robaina,Battlecry: Summon three 1/1 Chinchillas.,NULL
We All Scream,NULL,NULL
Shadowbeast,NULL,NULL
Jade Golem,NULL,NULL
Mystic Wool,Transform a random enemy minion into a 1/1 Sheep.,NULL
Jade Idol,Summon a{1} {0} Jade Golem.,NULL
Dreadsteed,Deathrattle: Summon a Dreadsteed.,DEMON
Dire Wolf Alpha,Adjacent minions have +1 Attack.,BEAST
Abyssal Enforcer,Battlecry: Deal 3 damage to all other characters.,DEMON
Hogger,NULL,NULL
Demonwrath,Deal 2 damage to all non-Demon minions.,NULL
Smuggling,+2/+2 from Shaky Zipgunner.,NULL
Wish for More Wishes,Gain 2 Wishes.,NULL
Doom Free,Attack set to 7.,NULL
Warbot,Enrage: +1 Attack.,MECHANICAL
Druid of the Claw,Taunt,BEAST
Burly Rockjaw Trogg,"Whenever your opponent casts a spell, gain +2 Attack.",NULL
Living Lava,Taunt,NULL
Damaged Golem,NULL,MECHANICAL
Second Class: Priest,Add Priest cards to your deck.,NULL
Famished,Quite Hungry.,NULL
Forgotten Armor,Gain 10 Armor.,NULL
Nerubian Prophet,"At the start of your turn, reduce this card's
Cost by (1).",NULL
Burning Adrenaline,Costs (2) less.,NULL
Reflections,"Passive Hero Power
Whenever a minion is played, summon a 1/1 copy of it.",NULL
Shattering Spree,"Destroy all Statues. For each destroyed, deal 3 damage.",NULL
Junkbot,"Whenever a friendly Mech dies, gain +2/+2.",MECHANICAL
Illidan Stormrage Cheat,"Whenever you play a card, deal 1 damage to all minions.",DEMON
Harvest Golem,Deathrattle: Summon a 2/1 Damaged Golem.,MECHANICAL
Rain of Fire,"Hero Power
Fire a missile for each card in your opponent's hand.",NULL
